review_id,date,channel,rating,review_text
review_id,date,channel,rating,review_text
R001,2026-03-15,play_store,2,"I do not understand why exit load was charged when I redeemed my units."
R002,2026-03-16,support_ticket,3,"The exit load information was difficult to find before redemption."
R003,2026-03-18,app_store,2,"Unexpected charges appeared after redemption and support took time to explain."
R004,2026-03-19,play_store,2,"I was confused about how exit load is calculated."
R005,2026-03-20,support_ticket,3,"The fee explanation could be clearer for first-time investors."
R006,2026-03-21,app_store,2,"I wish the app explained exit load before I sold my units."
R007,2026-03-22,play_store,2,"Not sure why I paid an exit load even though I held the fund for several months."
R008,2026-03-24,support_ticket,3,"I had to contact support to understand the exit load rules."
R009,2026-03-25,app_store,2,"Redemption charges were confusing."
R010,2026-03-27,play_store,2,"Please make exit load details easier to understand."

R011,2026-04-01,support_ticket,3,"My SIP mandate failed and I was not sure how to fix it."
R012,2026-04-02,play_store,2,"The SIP registration process was confusing."
R013,2026-04-03,app_store,3,"The SIP mandate status was not updated quickly."
R014,2026-04-05,support_ticket,2,"Auto-debit failed and I could not understand the reason."
R015,2026-04-06,play_store,3,"Need clearer guidance when a SIP mandate gets rejected."
R016,2026-04-08,app_store,2,"The SIP setup process needs better instructions."
R017,2026-04-09,support_ticket,3,"Mandate approval took longer than expected."
R018,2026-04-10,play_store,2,"I was unsure whether my SIP registration was successful."
R019,2026-04-12,app_store,3,"SIP failure messages are difficult to understand."
R020,2026-04-13,support_ticket,2,"Please improve SIP troubleshooting guidance."

R021,2026-04-20,play_store,3,"Finding my capital gains statement took longer than expected."
R022,2026-04-21,app_store,2,"I could not easily locate tax documents."
R023,2026-04-22,support_ticket,3,"The capital gains report download process should be simpler."
R024,2026-04-24,play_store,2,"Tax statements are hidden too deep inside the app."
R025,2026-04-25,app_store,3,"I eventually found the statement but it was not intuitive."

R026,2026-05-01,play_store,3,"The expense ratio explanation could be clearer."
R027,2026-05-02,support_ticket,2,"I do not understand how fund expenses affect returns."
R028,2026-05-04,app_store,3,"The fee breakdown needs more detail."
R029,2026-05-05,play_store,2,"There should be a simple explanation of charges."
R030,2026-05-06,support_ticket,3,"Expense-related information is difficult for beginners."

R031,2026-05-10,play_store,4,"The investment experience is generally good but navigation can improve."
R032,2026-05-12,app_store,3,"The dashboard has too many menus."
R033,2026-05-14,support_ticket,3,"Important documents should be easier to access."
R034,2026-05-16,play_store,4,"Customer support was helpful but finding information was difficult."
R035,2026-05-18,app_store,3,"The search experience can be improved."

R036,2026-05-22,play_store,2,"Exit load is still the most confusing part of the redemption process."
R037,2026-05-23,support_ticket,2,"Please provide a simple exit load calculator."
R038,2026-05-24,app_store,3,"The exit load explanation helped but I still had questions."
R039,2026-05-25,play_store,2,"Many investors may not understand exit load conditions."
R040,2026-05-27,support_ticket,2,"Exit load rules should be shown before confirming redemption."
